Problem,Adam,Adam-AMSGrad,Adam-Fast,Adam-Robust,Adam-WeightDecay,GD,GD-AdaptiveMomentum,GD-Momentum,GD-Nesterov,GD-WeightDecay,L-BFGS,L-BFGS-Aggressive,L-BFGS-Conservative,L-BFGS-Limited,L-BFGS-MoreThuente,QQN-Bisection-1,QQN-Bisection-2,QQN-CubicQuadraticInterpolation,QQN-GoldenSection,QQN-StrongWolfe,Trust Region-Adaptive,Trust Region-Aggressive,Trust Region-Conservative,Trust Region-Precise,Trust Region-Standard
Sphere_2D,40.0,0.0,30.0,0.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,35.0,30.0,100.0,55.0,10.0
Sphere_10D,95.0,0.0,0.0,0.0,100.0,100.0,60.0,75.0,65.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,0.0,35.0,65.0,15.0
Rosenbrock_2D,0.0,0.0,60.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,95.0,5.0,30.0,40.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0
Rosenbrock_5D,0.0,0.0,5.0,0.0,60.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,20.0,45.0,70.0,85.0,55.0,70.0,55.0,100.0,0.0,0.0,0.0,0.0,0.0
Rosenbrock_10D,90.0,100.0,45.0,0.0,100.0,75.0,0.0,55.0,100.0,100.0,0.0,0.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,0.0,30.0,0.0,0.0,0.0
Michalewicz_2D_m10,50.0,30.0,40.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,10.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michalewicz_5D_m10,80.0,55.0,65.0,10.0,10.0,45.0,5.0,5.0,5.0,5.0,0.0,0.0,30.0,0.0,5.0,20.0,35.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
Michalewicz_10D_m10,20.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
Rastrigin_2D,55.0,55.0,0.0,15.0,50.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,75.0,70.0,55.0,65.0,30.0,80.0,55.0,65.0,15.0,0.0,0.0,10.0,0.0
Rastrigin_5D,30.0,40.0,40.0,55.0,55.0,30.0,65.0,5.0,45.0,50.0,0.0,0.0,40.0,35.0,50.0,25.0,15.0,50.0,35.0,40.0,60.0,50.0,0.0,35.0,45.0
Rastrigin_10D,30.0,55.0,30.0,30.0,35.0,35.0,40.0,10.0,25.0,45.0,0.0,0.0,20.0,50.0,65.0,45.0,15.0,60.0,50.0,40.0,40.0,45.0,0.0,0.0,25.0
Ackley_2D_a20_b0.2_c6.28e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,15.0,45.0,60.0,40.0,40.0,35.0,15.0,5.0,0.0,0.0,0.0,0.0
Ackley_5D_a20_b0.2_c6.28e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,10.0,30.0,35.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
Ackley_10D_a20_b0.2_c6.28e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,5.0,10.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StyblinskiTang_2D,0.0,0.0,35.0,0.0,80.0,65.0,5.0,15.0,10.0,35.0,50.0,0.0,90.0,70.0,70.0,70.0,75.0,70.0,90.0,65.0,70.0,20.0,0.0,0.0,40.0
StyblinskiTang_5D,0.0,0.0,55.0,0.0,65.0,50.0,10.0,15.0,30.0,60.0,30.0,0.0,65.0,50.0,50.0,60.0,60.0,45.0,70.0,40.0,65.0,45.0,0.0,0.0,55.0
StyblinskiTang_10D,0.0,0.0,30.0,0.0,35.0,25.0,20.0,15.0,30.0,45.0,45.0,0.0,30.0,35.0,35.0,30.0,35.0,15.0,45.0,15.0,0.0,50.0,0.0,0.0,40.0
Beale_2D,0.0,0.0,0.0,0.0,100.0,100.0,80.0,5.0,100.0,100.0,65.0,0.0,100.0,100.0,100.0,95.0,70.0,95.0,100.0,90.0,0.0,5.0,5.0,45.0,0.0
Levi_2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,25.0,15.0,15.0,20.0,40.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0
GoldsteinPrice_2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,20.0,5.0,15.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0
Matyas_2D,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Himmelblau_2D,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,40.0,75.0,35.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,0.0,0.0,80.0
Booth_2D,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,15.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,0.0,0.0,0.0,0.0
Griewank_2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Griewank_5D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Griewank_10D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schwefel_2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Schwefel_5D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Schwefel_10D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Levy_2D,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,80.0,70.0,85.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Levy_5D,0.0,0.0,0.0,0.0,60.0,0.0,0.0,10.0,25.0,100.0,80.0,75.0,100.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Levy_10D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,25.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Zakharov_2D,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,25.0,60.0,70.0,75.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Zakharov_5D,0.0,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Zakharov_10D,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,55.0,0.0,100.0,100.0,100.0,100.0,95.0,0.0,0.0,0.0,0.0,0.0
IllConditionedRosenbrock_2D_alpha100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,65.0,5.0,25.0,35.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
IllConditionedRosenbrock_5D_alpha100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,15.0,65.0,35.0,100.0,0.0,0.0,0.0,0.0,0.0
IllConditionedRosenbrock_10D_alpha100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,5.0,75.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
Trigonometric_2D,100.0,85.0,5.0,5.0,75.0,100.0,0.0,0.0,0.0,85.0,90.0,80.0,100.0,90.0,100.0,100.0,100.0,100.0,95.0,100.0,0.0,0.0,0.0,0.0,0.0
Trigonometric_5D,85.0,35.0,0.0,20.0,70.0,100.0,0.0,0.0,0.0,75.0,0.0,0.0,90.0,95.0,75.0,90.0,80.0,100.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0
Trigonometric_10D,35.0,0.0,0.0,10.0,70.0,55.0,0.0,0.0,0.0,85.0,0.0,0.0,25.0,0.0,60.0,85.0,75.0,100.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0
PenaltyI_2D_alpha1e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PenaltyI_5D_alpha1e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PenaltyI_10D_alpha1e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barrier_2D_mu0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barrier_5D_mu0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barrier_10D_mu0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoisySphere_2D_sigma0.01,0.0,5.0,35.0,0.0,0.0,35.0,30.0,35.0,25.0,25.0,40.0,0.0,80.0,45.0,15.0,35.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0
NoisySphere_5D_sigma0.01,0.0,0.0,10.0,0.0,0.0,20.0,15.0,25.0,30.0,25.0,20.0,0.0,85.0,55.0,25.0,45.0,0.0,0.0,10.0,45.0,0.0,0.0,0.0,0.0,0.0
NoisySphere_10D_sigma0.01,0.0,0.0,15.0,5.0,0.0,10.0,35.0,10.0,15.0,5.0,20.0,0.0,85.0,45.0,10.0,45.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
SparseRosenbrock_4D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,5.0,45.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
SparseRosenbrock_10D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,55.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0
SparseQuadratic_5D_pattern[1, 3],0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
SparseQuadratic_10D_pattern[1, 3],0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
LogisticRegression_100samples_5features_reg0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LogisticRegression_200samples_10features_reg0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LinearRegression_100samples_5features_reg0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LinearRegression_200samples_10features_reg0.01,0.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
NeuralNetwork_100samples_layers_5_10_3,10.0,0.0,60.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,45.0,15.0,95.0,90.0,80.0,75.0,45.0,0.0,0.0,0.0,0.0,0.0
NeuralNetwork_100samples_layers_10_20_5,10.0,5.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,100.0,100.0,85.0,70.0,0.0,0.0,0.0,0.0,0.0
SVM_100samples_5features_C1,100.0,90.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0
SVM_200samples_10features_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
